Time,Formation Manufacturing,Formation Construction,Formation Wholesale Trade,Formation Retail Trade,Formation Transportation & Storage,Formation Accommodation,Formation Food & Beverage Services,Formation Information & Communications,Formation Finance & Insurance,Formation Real Estate,Formation Professional Services,Formation Administrative & Support Services,"Formation Education, Health & Social Services","Formation Arts, Entertainment, Recreation & Other Services",Formation Others
  1993 Feb,215,344,756,330,147,3,99,56,86,88,217,97,58,146,14
  1993 Jan,164,180,570,215,124,3,58,59,76,80,164,68,45,109,4
  1992 Dec,146,203,653,228,127,0,89,61,86,87,192,82,44,114,5
  1992 Nov,174,217,616,277,117,4,101,58,62,69,179,72,41,121,11
  1992 Oct,217,239,773,337,119,1,79,59,82,93,169,95,49,122,10
  1992 Sep,192,240,662,311,115,1,85,62,77,82,208,87,55,131,7
  1992 Aug,158,225,634,277,112,3,83,70,76,84,151,65,46,110,9
  1992 Jul,220,238,708,275,134,7,105,70,85,104,195,88,69,115,10
  1992 Jun,203,241,624,288,137,1,88,64,68,75,165,83,46,98,11
  1992 May,190,237,674,287,114,2,96,52,59,88,193,101,44,120,9
  1992 Apr,217,212,671,306,131,2,77,41,59,83,181,122,52,135,9
  1992 Mar,207,268,738,328,152,7,109,67,79,99,217,132,41,146,3
  1992 Feb,177,257,607,256,126,0,73,47,55,68,145,114,34,104,4
  1992 Jan,183,217,673,275,123,1,86,54,63,61,156,129,33,111,6
  1991 Dec,154,174,525,249,95,0,60,47,71,56,144,118,49,93,8
  1991 Nov,190,205,577,286,111,3,71,46,53,70,137,103,37,98,3
  1991 Oct,185,216,677,310,128,2,105,63,50,83,191,130,46,119,4
  1991 Sep,184,219,633,278,95,3,89,50,53,86,147,104,36,105,9
  1991 Aug,182,303,651,267,126,1,78,62,63,97,164,88,40,107,10
  1991 Jul,246,326,700,335,126,2,97,65,59,83,177,111,45,107,8
  1991 Jun,202,263,689,277,145,1,76,51,62,90,173,115,31,119,9
  1991 May,217,326,597,291,125,4,74,54,72,93,168,126,45,126,8
  1991 Apr,234,341,659,269,142,1,88,56,59,90,177,114,41,112,6
  1991 Mar,207,276,605,258,149,1,79,64,48,83,164,85,31,126,11
  1991 Feb,147,220,454,162,92,0,39,33,37,57,122,82,21,78,4
  1991 Jan,190,250,596,224,105,0,73,52,41,69,185,92,48,113,7
  1990 Dec,148,141,445,170,82,3,56,35,53,59,108,70,30,83,3
  1990 Nov,196,187,547,258,96,2,62,42,61,71,136,94,35,103,9
  1990 Oct,195,216,612,350,123,0,86,50,69,55,155,84,32,100,9
  1990 Sep,193,193,553,252,89,1,44,55,74,57,145,85,25,112,4
  1990 Aug,206,220,676,326,147,2,66,49,52,84,148,110,36,122,11
  1990 Jul,181,218,586,298,117,0,74,54,81,60,139,116,34,92,3
  1990 Jun,191,205,584,313,121,3,78,37,88,78,124,85,49,102,7
  1990 May,237,233,630,325,109,2,84,47,73,86,170,97,41,134,8
  1990 Apr,175,202,627,264,104,1,67,39,70,62,132,65,32,116,2
  1990 Mar,248,239,668,325,126,1,83,61,82,76,166,121,40,134,5
  1990 Feb,212,216,548,261,112,2,74,49,57,69,143,113,37,101,3
  1990 Jan,168,147,536,207,119,4,52,24,51,66,124,89,34,93,5
